KD ALL SKY ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,Site,Climate,National,Yang5,Dirindex,Yang4,Nested,Dirint,Disc,Engerer2,Engerer3,Engerer4,Erbs,ED,OH,Louche,Boland,,Site,Climate,National,Yang5,Dirindex,Yang4,Nested,Dirint,Disc,Engerer2,Engerer3,Engerer4,Erbs,ED,OH,Louche,Boland,
Upington,-0.86,-0.04,-0.14,-0.2,-0.2,-1.01,-1.94,-1.4,-0.66,-0.15,-0.21,0.04,-1.79,0.04,-0.01,0.1,0.03,,0.86,0.04,0.14,0.2,0.2,1.01,1.94,1.4,0.66,0.15,0.21,0.04,1.79,0.04,0.01,0.1,0.03,0
De Aar,-1.16,-1.16,-0.29,-0.2,-0.2,-0.64,-1.71,-1.04,-0.59,-0.14,-0.2,0.01,-1.29,0.02,-0.02,0.07,0.1,,1.16,1.16,0.29,0.2,0.2,0.64,1.71,1.04,0.59,0.14,0.2,0.01,1.29,0.02,0.02,0.07,0.1,0
Bethlehem,-0.38,-1.23,-0.23,-0.26,-0.25,-0.91,-1.41,-1.11,-0.64,-0.16,-0.17,0,-1.36,-0.01,-0.08,0,0.03,,0.38,1.23,0.23,0.26,0.25,0.91,1.41,1.11,0.64,0.16,0.17,0,1.36,0.01,0.08,0,0.03,0
Mahikeng,-0.62,-0.46,-0.22,-0.28,-0.27,-0.86,-1.88,-1.2,-0.71,-0.24,-0.29,-0.04,-2.49,-0.05,-0.08,-0.01,-0.04,,0.62,0.46,0.22,0.28,0.27,0.86,1.88,1.2,0.71,0.24,0.29,0.04,2.49,0.05,0.08,0.01,0.04,0
Irene,-0.2,-0.24,-0.11,-0.02,-0.02,-0.02,-0.17,-0.05,-0.05,0,-0.07,0,-0.52,0,0.04,-0.01,0.01,,0.2,0.24,0.11,0.02,0.02,0.02,0.17,0.05,0.05,0,0.07,0,0.52,0,0.04,0.01,0.01,0
Pretoria,-0.62,-1.76,-0.81,-0.21,-0.2,-1.06,-2.96,-1.6,-0.58,-0.07,-0.21,0.14,-3.34,0.17,-0.13,0.17,0.15,,0.62,1.76,0.81,0.21,0.2,1.06,2.96,1.6,0.58,0.07,0.21,0.14,3.34,0.17,0.13,0.17,0.15,0
Thohoyandou,-0.37,-0.8,-0.66,-0.24,-0.23,-1.3,-2.44,-1.56,-0.56,-0.07,-0.13,0.16,-2.96,0.15,-0.22,0.22,-0.01,,0.37,0.8,0.66,0.24,0.23,1.3,2.44,1.56,0.56,0.07,0.13,0.16,2.96,0.15,0.22,0.22,0.01,0
Nelspruit,-1.17,-0.84,-0.96,-0.84,-0.82,-2.88,-483.55,-3.54,-2.03,-0.71,-0.68,-0.07,-7.28,-0.11,-0.53,-0.01,-0.03,,1.17,0.84,0.96,0.84,0.82,2.88,483.55,3.54,2.03,0.71,0.68,0.07,7.28,0.11,0.53,0.01,0.03,0
Durban,-0.18,-0.23,-0.72,-0.16,-0.15,-0.79,-501.25,-0.97,-0.43,-0.13,-0.44,0,-0.93,0,-0.26,0.03,0.04,,0.18,0.23,0.72,0.16,0.15,0.79,501.25,0.97,0.43,0.13,0.44,0,0.93,0,0.26,0.03,0.04,0
Mthatha,-0.16,-0.04,-0.3,-0.05,-0.05,-0.05,-1.73,-0.16,-0.28,-0.08,-0.2,-0.03,-0.5,0,0.04,-0.04,-0.01,,0.16,0.04,0.3,0.05,0.05,0.05,1.73,0.16,0.28,0.08,0.2,0.03,0.5,0,0.04,0.04,0.01,0
George,-0.75,-1.72,-2.3,-1.25,-1.22,-4.33,-6.74,-5.28,-2.58,-0.7,-0.74,-0.13,-4.49,-0.16,-1.17,-0.01,-0.07,,0.75,1.72,2.3,1.25,1.22,4.33,6.74,5.28,2.58,0.7,0.74,0.13,4.49,0.16,1.17,0.01,0.07,0
Stellenboch,-1.15,-0.96,-1.29,-0.37,-0.36,-1.33,-2.83,-1.92,-1.44,-0.42,-0.56,-0.15,-1.62,-0.13,-0.42,-0.03,0.04,,1.15,0.96,1.29,0.37,0.36,1.33,2.83,1.92,1.44,0.42,0.56,0.15,1.62,0.13,0.42,0.03,0.04,0
Cape Point,-0.52,-0.79,-0.72,-0.83,-0.83,-0.37,-0.56,-0.56,-1.4,-1.37,-1.37,-1.37,-1.22,-1.35,-0.8,-1.36,-1.07,,0.52,0.79,0.72,0.83,0.83,0.37,0.56,0.56,1.4,1.37,1.37,1.37,1.22,1.35,0.8,1.36,1.07,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.878,0.868,0.863,0.839,0.84,0.824,0.799,0.856,0.846,0.812,0.741,0.808,0.777,0.777,0.774,0.712,0.749,,0.591,0.786,0.68,0.336,0.327,1.26,77.767,1.658,0.882,0.228,0.322,0.068,2.276,0.072,0.248,0.066,0.053,0
