KD ALL SKY ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,kd_Site,kd_Climate,kd_National,kd_erbs,kd_erbsD,kd_ohm,kd_louche,kd_boland,kd_disc,kd_dirint,kd_dirindex,kd_Engerer2,kd_Engerer3,kd_Engerer4,kd_Yang5,kd_Yang4,kd_Nested,,kd_Site,kd_Climate,kd_National,kd_erbs,kd_erbsD,kd_ohm,kd_louche,kd_boland,kd_disc,kd_dirint,kd_dirindex,kd_Engerer2,kd_Engerer3,kd_Engerer4,kd_Yang5,kd_Yang4,kd_Nested
Station/Model,kd_Site,kd_Climate,kd_National,kd_erbs,kd_erbsD,kd_ohm,kd_louche,kd_boland,kd_disc,kd_dirint,kd_dirindex,kd_Engerer2,kd_Engerer3,kd_Engerer4,kd_Yang5,kd_Yang4,kd_Nested,,,,,,,,,,,,,,,,,,
Alexandra Bay,0.05,0.04,0.06,0.08,0.08,0.09,0.05,0.1,0.06,0.05,0.06,0.08,0.05,0.09,0.05,0.05,0.07,,,,,,,,,,,,,,,,,,
Upington,0.05,0.06,0.08,0.09,0.09,0.1,0.05,0.09,0.08,0.09,0.07,0.11,0.05,0.1,0.08,0.1,0.08,,,,,,,,,,,,,,,,,,
De Aar,0.06,0.06,0.07,0.1,0.1,0.11,0.07,0.1,0.08,0.09,0.06,0.1,0.07,0.1,0.08,0.09,0.08,,,,,,,,,,,,,,,,,,
Bethlehem,0.08,0.08,0.08,0.09,0.09,0.1,0.08,0.11,0.09,0.08,0.09,0.09,0.08,0.1,0.08,0.08,0.09,,,,,,,,,,,,,,,,,,
Mahikeng,0.06,0.07,0.07,0.08,0.08,0.09,0.06,0.09,0.09,0.08,0.08,0.09,0.06,0.08,0.07,0.08,0.08,,,,,,,,,,,,,,,,,,
Irene,0.07,0.06,0.06,0.07,0.07,0.08,0.05,0.08,0.08,0.07,0.06,0.08,0.06,0.07,0.07,0.07,0.06,,,,,,,,,,,,,,,,,,
Pretoria,0.05,0.05,0.05,0.07,0.07,0.08,0.05,0.09,0.09,0.07,0.06,0.07,0.06,0.08,0.05,0.05,0.06,,,,,,,,,,,,,,,,,,
Thohoyandou,0.05,0.06,0.05,0.06,0.06,0.07,0.05,0.08,0.07,0.06,0.05,0.06,0.06,0.07,0.05,0.05,0.05,,,,,,,,,,,,,,,,,,
Nelspruit,0.06,0.06,0.05,0.07,0.07,0.08,0.05,0.1,0.08,0.06,0.1,0.08,0.05,0.08,0.05,0.06,0.07,,,,,,,,,,,,,,,,,,
Durban,0.07,0.06,0.05,0.08,0.08,0.09,0.06,0.11,0.07,0.05,0.09,0.07,0.06,0.08,0.05,0.04,0.06,,,,,,,,,,,,,,,,,,
Mthatha,0.06,0.08,0.06,0.09,0.09,0.1,0.06,0.12,0.08,0.07,0.08,0.09,0.06,0.1,0.06,0.06,0.09,,,,,,,,,,,,,,,,,,
George,0.06,0.06,0.06,0.09,0.09,0.1,0.06,0.11,0.06,0.06,0.06,0.08,0.06,0.09,0.06,0.06,0.07,,,,,,,,,,,,,,,,,,
Stellenboch,0.04,0.05,0.06,0.09,0.09,0.1,0.06,0.11,0.07,0.05,0.05,0.08,0.05,0.09,0.06,0.06,0.07,,,,,,,,,,,,,,,,,,
Cape Point,0.07,0.07,0.07,0.08,0.08,0.08,0.07,0.08,0.07,0.09,0.07,0.08,0.06,0.08,0.07,0.08,0.09,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.059,0.061,0.062,0.081,0.081,0.091,0.059,0.098,0.076,0.069,0.07,0.083,0.059,0.086,0.063,0.066,0.073,,,,,,,,,,,,,,,,,,
