DNI ALL SKY ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,Site,Climate,National,Yang5,Dirindex,Yang4,Nested,Dirint,Disc,Engerer2,Engerer3,Engerer4,Erbs,ED,OH,Louche,Boland,,Site,Climate,National,Yang5,Dirindex,Yang4,Nested,Dirint,Disc,Engerer2,Engerer3,Engerer4,Erbs,ED,OH,Louche,Boland
Cape Point,60.34,59.18,58.59,61.31,61.34,48.63,67.71,60.79,83.94,81.18,81.77,81.33,73.42,80.09,60.31,83.03,74.26,,0,,0,,0,,-1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,Site,Climate,National,Yang5,Dirindex,Yang4,Nested,Dirint,Disc,Engerer2,Engerer3,Engerer4,Erbs,ED,OH,Louche,Boland,,,,,,,,,,,,,,,,,,
Alexandra Bay,14.12,20.09,20.64,17.26,17.17,21.53,28.22,25.17,21.7,15.12,16.91,13.16,22.13,13.4,16.47,12.62,13.16,,,,,,,,,,,,,,,,,,
Upington,19.29,14.26,15.15,15.58,15.51,19.38,25.25,22.5,18.35,14.71,15.26,13.31,25.32,13.3,14.17,12.85,13.22,,,,,,,,,,,,,,,,,,
De Aar,26.24,26.24,18.63,17.21,17.11,21.26,28.85,25.52,20.97,15.29,16.49,12.88,27.3,12.86,15.17,12.17,12.28,,,,,,,,,,,,,,,,,,
Bethlehem,13.07,19.1,11.47,11.92,11.84,15.97,21.24,18.76,14.63,10.17,10.35,8.2,21.52,8.34,9.77,8.23,8.4,,,,,,,,,,,,,,,,,,
Mahikeng,16.71,16.36,13.52,14.08,13.98,18.44,25,22.08,17.1,12.35,13.07,9.38,29.96,9.58,11.54,8.84,10.32,,,,,,,,,,,,,,,,,,
Irene,24.9,25.64,23.13,20.91,20.92,20.58,23.28,21.79,20.79,20,22.05,20.93,31.73,20.89,20.24,21.46,21.44,,,,,,,,,,,,,,,,,,
Pretoria,16.95,21.94,17.87,14.22,14.15,17.69,24.18,21.26,16.46,12.83,13.98,11.59,29.36,11.32,13.52,11.29,11.47,,,,,,,,,,,,,,,,,,
Thohoyandou,14.34,15.47,15.34,14.71,14.68,17.07,20.45,18.77,15.49,13.66,13.86,12.49,24.38,12.63,13.75,12.22,13.39,,,,,,,,,,,,,,,,,,
Nelspruit,12.11,11.29,11.84,11.47,11.38,15.99,21.59,19.02,14.98,10.42,10.22,6.67,27.8,7.04,9.74,6.18,6.5,,,,,,,,,,,,,,,,,,
Durban,9.97,10.38,13.57,9.41,9.36,12.22,16.57,14.51,11.9,9.21,12.42,8.1,15.7,8.02,10.28,7.9,7.9,,,,,,,,,,,,,,,,,,
Mthatha,22.35,20.01,24.28,18.54,18.54,18.29,22.48,20.42,22.56,19.43,21.91,19.86,25.29,19.14,19.34,20.14,20.01,,,,,,,,,,,,,,,,,,
George,9.12,12.07,13.48,10.94,10.85,15.66,21.33,18.71,14.76,9.1,9.3,6.47,19.02,6.64,10.14,5.81,6.09,,,,,,,,,,,,,,,,,,
Stellenboch,16.07,15.42,16.73,12.45,12.38,15.85,21.36,18.86,16.97,11.51,12.37,10.32,18.21,10.16,12.81,9.48,9.59,,,,,,,,,,,,,,,,,,
Cape Point,14.15,13.7,13.42,14.24,14.25,13.14,16.51,14.94,16.77,16.03,16.12,16.67,16.56,16.55,14.3,16.78,16.12,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
