DHI ALL SKY ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,Site,Climate,National,Yang5,Dirindex,Yang4,Nested,Dirint,Disc,Engerer2,Engerer3,Engerer4,Erbs,ED,OH,Louche,Boland,,Site,Climate,National,Yang5,Dirindex,Yang4,Nested,Dirint,Disc,Engerer2,Engerer3,Engerer4,Erbs,ED,OH,Louche,Boland
Mahikeng,42.258,45.705,43.018,52.667,52.808,59.082,33.176,53.853,73.374,59.036,58.272,55.232,36.94,58.342,43.261,43.486,42.428,,,,,,,,,,,,,,,,,,
Irene,49.207,47.109,44.63,45.702,45.823,51.433,33.291,47.718,70.498,59.245,38.319,57.42,37.845,50.452,46.883,48.365,36.917,,,,,,,,,,,,,,,,,,
Pretoria,39.662,40.406,37.548,46.976,47.177,52.864,31.478,54.7,73.546,60.563,39.746,48.554,37.047,51.926,37.815,36.974,36.854,,,,,,,,,,,,,,,,,,
Thohoyandou,41.107,43.495,38.145,43.105,43.318,47.506,35.377,55.572,59.028,41.277,40.415,45.189,43.248,47.431,36.272,34.92,32.487,,,,,,,,,,,,,,,,,,
Nelspruit,42.239,42.632,36.599,44.863,45.146,50.554,28.081,58.818,60.003,46.385,59.825,50.135,30.676,51.914,36.32,38.118,41.723,,,,,,,,,,,,,,,,,,
Durban,53.058,44.894,35.134,47.054,47.361,53.484,35.607,65.047,54.393,35.409,62.266,44.668,39.027,50.151,33.046,28.814,37.943,,,,,,,,,,,,,,,,,,
Mthatha,42.156,55.718,45.048,56.091,56.421,61.341,36.188,71.863,69.421,51.201,57.501,55.255,33.136,65.08,39.775,37.144,53.783,,,,,,,,,,,,,,,,,,
George,36.961,34.412,37.838,55.049,55.316,60.965,33.214,65.182,48.826,37.51,45.163,50.204,34.701,60.183,36.102,33.62,39.333,,,,,,,,,,,,,,,,,,
Stellenboch,26.694,39.93,45.261,59.64,59.967,66.286,34.837,71.471,59.673,41.141,37.323,58.376,32.604,66.771,42.03,39.314,45.013,,,,,,,,,,,,,,,,,,
Cape Point,43.431,35.467,36.164,51.681,51.722,58.206,33.478,41.761,43.054,49.51,35.959,47.087,32.995,52.326,38.136,41.383,41.157,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42,43,43,55,55,61,36,60,62,51,48,54,39,60,42,42,43,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rRMSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,Site,Climate,National,Yang5,Dirindex,Yang4,Nested,Dirint,Disc,Engerer2,Engerer3,Engerer4,Erbs,ED,OH,Louche,Boland,,,,,,,,,,,,,,,,,,
Alexandra Bay,36.427,34.301,52.79,71.917,72.277,80.582,36.158,82.253,69.909,50.37,54.763,66.151,37.313,81.493,46.548,41.936,53.224,,,,,,,,,,,,,,,,,,
Upington,46.811,52.833,74.855,105.54,105.695,118.226,55.101,88.5,97.651,91.988,52.689,102.065,57.99,109.995,77.805,80.741,71.356,,,,,,,,,,,,,,,,,,
De Aar,72.2,72.2,85.57,121.27,121.37,132.5,80.83,103.51,116.09,118.23,78.8,106.39,84.78,120.05,87.84,90.32,83.5,,,,,,,,,,,,,,,,,,
Bethlehem,71,69.98,66.98,78.38,78.49,82.32,71.53,84.36,81.8,77.78,77.24,75.27,74.04,81.16,69.08,69.34,71.83,,,,,,,,,,,,,,,,,,
Mahikeng,49.874,53.942,50.771,62.158,62.325,69.73,39.155,63.558,86.598,69.675,68.773,65.186,43.597,68.856,51.057,51.323,50.074,,,,,,,,,,,,,,,,,,
Irene,51.418,49.225,46.635,47.755,47.882,53.744,34.787,49.862,73.666,61.907,40.041,60,39.546,52.719,48.99,50.538,38.576,,,,,,,,,,,,,,,,,,
Pretoria,41.727,42.51,39.503,49.423,49.634,55.617,33.118,57.548,77.376,63.717,41.815,51.083,38.977,54.631,39.785,38.9,38.773,,,,,,,,,,,,,,,,,,
Thohoyandou,37.928,40.131,35.195,39.771,39.969,43.832,32.642,51.275,54.464,38.085,37.29,41.694,39.904,43.763,33.467,32.22,29.975,,,,,,,,,,,,,,,,,,
Nelspruit,46.766,47.201,40.522,49.672,49.985,55.973,31.091,65.122,66.434,51.357,66.237,55.509,33.964,57.478,40.213,42.204,46.195,,,,,,,,,,,,,,,,,,
Durban,50.053,42.351,33.144,44.389,44.679,50.455,33.591,61.363,51.312,33.404,58.74,42.138,36.817,47.311,31.175,27.182,35.794,,,,,,,,,,,,,,,,,,
Mthatha,58.142,76.846,62.13,77.361,77.817,84.602,49.91,99.113,95.746,70.616,79.306,76.209,45.701,89.759,54.858,51.229,74.177,,,,,,,,,,,,,,,,,,
George,46.387,43.188,47.487,69.088,69.422,76.512,41.683,81.804,61.277,47.075,56.68,63.007,43.55,75.531,45.309,42.194,49.364,,,,,,,,,,,,,,,,,,
Stellenboch,33.71,50.426,57.159,75.314,75.727,83.706,43.992,90.254,75.356,51.953,47.132,73.718,41.172,84.319,53.076,49.646,56.845,,,,,,,,,,,,,,,,,,
Cape Point,54.146,44.217,45.087,64.434,64.485,72.57,41.739,52.067,53.679,61.728,44.833,58.707,41.138,65.239,47.547,51.596,51.311,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,50,51,53,68,69,76,45,74,76,63,57,67,47,74,52,51,54,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,Site,Climate,National,Yang5,Dirindex,Yang4,Nested,Dirint,Disc,Engerer2,Engerer3,Engerer4,Erbs,ED,OH,Louche,Boland,,,,,,,,,,,,,,,,,,
Alexandra Bay,0.013,0.125,-1.072,-2.845,-2.884,-3.828,0.028,-4.03,-2.634,-0.886,-1.23,-2.253,-0.035,-3.938,-0.611,-0.308,-1.106,,,,,,,,,,,,,,,,,,
Upington,-0.16,-0.478,-1.966,-4.897,-4.914,-6.4,-0.607,-3.146,-4.048,-3.48,-0.47,-4.515,-0.78,-5.405,-2.205,-2.451,-1.696,,,,,,,,,,,,,,,,,,
De Aar,0.11,0.11,-0.26,-1.52,-1.53,-2.01,-0.12,-0.84,-1.31,-1.4,-0.06,-0.94,-0.23,-1.47,-0.32,-0.4,-0.2,,,,,,,,,,,,,,,,,,
Bethlehem,0.24,0.27,0.33,0.08,0.08,-0.02,0.23,-0.07,0,0.09,0.11,0.15,0.18,0.01,0.28,0.28,0.23,,,,,,,,,,,,,,,,,,
Mahikeng,-0.027,-0.201,-0.064,-0.595,-0.603,-1.007,0.367,-0.667,-2.095,-1.004,-0.952,-0.754,0.215,-0.957,-0.076,-0.087,-0.035,,,,,,,,,,,,,,,,,,
Irene,-0.452,-0.331,-0.194,-0.252,-0.259,-0.586,0.335,-0.365,-1.98,-1.105,0.12,-0.977,0.141,-0.526,-0.318,-0.403,0.183,,,,,,,,,,,,,,,,,,
Pretoria,0.061,0.026,0.159,-0.317,-0.328,-0.668,0.409,-0.785,-2.228,-1.189,0.057,-0.407,0.181,-0.609,0.147,0.184,0.19,,,,,,,,,,,,,,,,,,
Thohoyandou,0.124,0.02,0.246,0.037,0.028,-0.169,0.352,-0.6,-0.805,0.117,0.154,-0.058,0.031,-0.166,0.318,0.368,0.453,,,,,,,,,,,,,,,,,,
Nelspruit,-0.357,-0.382,-0.019,-0.531,-0.55,-0.944,0.4,-1.631,-1.739,-0.637,-1.722,-0.912,0.284,-1.05,-0.003,-0.105,-0.324,,,,,,,,,,,,,,,,,,
Durban,-0.722,-0.233,0.245,-0.354,-0.372,-0.75,0.224,-1.588,-0.81,0.233,-1.372,-0.22,0.068,-0.538,0.332,0.492,0.119,,,,,,,,,,,,,,,,,,
Mthatha,-0.592,-1.781,-0.818,-1.818,-1.851,-2.37,-0.173,-3.626,-3.317,-1.348,-1.962,-1.735,0.017,-2.794,-0.417,-0.236,-1.591,,,,,,,,,,,,,,,,,,
George,-0.073,0.07,-0.125,-1.38,-1.404,-1.92,0.133,-2.337,-0.873,-0.105,-0.602,-0.98,0.054,-1.845,-0.024,0.112,-0.215,,,,,,,,,,,,,,,,,,
Stellenboch,0.376,-0.396,-0.793,-2.111,-2.145,-2.843,-0.061,-3.467,-2.114,-0.48,-0.218,-1.98,0.07,-2.899,-0.545,-0.352,-0.773,,,,,,,,,,,,,,,,,,
Cape Point,-0.665,-0.11,-0.155,-1.358,-1.362,-1.991,0.011,-0.54,-0.637,-1.164,-0.142,-0.957,0.039,-1.417,-0.284,-0.512,-0.495,,,,,,,,,,,,,,,,,,
