DNI ALL SKY ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,Site,Climate,National,Yang5,Dirindex,Yang4,Nested,Dirint,Disc,Engerer2,Engerer3,Engerer4,Erbs,ED,OH,Louche,Boland,,Site,Climate,National,Yang5,Dirindex,Yang4,Nested,Dirint,Disc,Engerer2,Engerer3,Engerer4,Erbs,ED,OH,Louche,Boland
Stellenboch,3.41,4.67,4.9,8.38,8.44,9.57,4.73,10.88,5.77,5.19,4.48,7.75,4.02,9.14,4.91,4.91,6.27,,,,,,,,,,,,,,,,,,
Cape Point,5.81,5.06,5.2,7.16,7.17,8.1,4.97,6.2,6.22,7.8,5.3,6.66,4.45,7.55,5.49,5.79,5.83,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,5,6,8,8,9,6,9,7,7,6,7,6,8,6,6,6,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,Site,Climate,National,Yang5,Dirindex,Yang4,Nested,Dirint,Disc,Engerer2,Engerer3,Engerer4,Erbs,ED,OH,Louche,Boland,,,,,,,,,,,,,,,,,,
Alexandra Bay,59.56,52.95,68.97,100.05,100.52,110.94,65.32,119.35,79.86,64.63,68.72,92.23,60.48,108,66.29,65.8,84.18,,,,,,,,,,,,,,,,,,
Upington,46.99,53.61,66.49,95.84,96,105.46,73.18,95.15,75.65,77.57,54.61,94.19,69.15,100.97,72.5,80.71,83.92,,,,,,,,,,,,,,,,,,
De Aar,62.11,62.11,68.61,96.32,96.52,106.92,66.78,94.83,82.7,91.38,72.2,92.12,68.85,96.55,72.7,81.71,73.64,,,,,,,,,,,,,,,,,,
Bethlehem,90.82,95.14,88.21,112.54,112.71,117.73,106.82,126.22,97.96,93.17,97.81,98.44,110.36,112.02,90.42,89.83,102.59,,,,,,,,,,,,,,,,,,
Mahikeng,61.76,66.32,68.03,77.89,77.93,81.8,85.5,85.24,86.17,75.99,72.78,74.88,85.33,80,73.05,72.64,77.8,,,,,,,,,,,,,,,,,,
Irene,69.88,67.34,66.42,67.48,67.64,74.9,65.23,77.6,90.5,79,68.6,80.24,69.24,70.36,69.93,72.31,63.08,,,,,,,,,,,,,,,,,,
Pretoria,62.71,61.42,57.82,82.44,82.83,92.98,58.33,101.48,97.21,83.46,63.72,80.74,58.34,87.56,60.79,61.62,70.35,,,,,,,,,,,,,,,,,,
Thohoyandou,52.36,54.91,52.3,60.21,60.47,66.71,57.88,80.05,72.98,63.14,52.5,57.22,68.83,61.77,51.03,47.98,48.1,,,,,,,,,,,,,,,,,,
Nelspruit,68.72,70.89,72.73,64.03,63.93,64.52,82.58,70.26,88.33,81.32,63.88,59.11,92.74,63.18,75.24,70.47,70.67,,,,,,,,,,,,,,,,,,
Durban,63.22,62.53,65.81,72.12,72.25,77.81,78.31,89.38,78.24,85.08,70.91,62.75,94.91,68.83,68.4,63.56,64.5,,,,,,,,,,,,,,,,,,
Mthatha,54.48,67.64,56.99,81.35,81.81,90.91,60.94,107.29,82.7,63.13,69.3,72.25,58.71,88.82,51.76,48.67,77.91,,,,,,,,,,,,,,,,,,
George,44.83,42.7,44.66,81.49,81.79,88.64,70.17,102.21,59.2,52.97,53.44,58.62,73.88,79.91,45.86,42.25,59.53,,,,,,,,,,,,,,,,,,
Stellenboch,42.11,52.16,55.03,84.46,84.94,95.22,59.64,107.74,68.72,58.25,51.16,77.42,52.32,89.66,54.12,53.4,69.1,,,,,,,,,,,,,,,,,,
Cape Point,71.8,68.62,70.1,82.69,82.76,90.49,70.76,80.84,75.12,90.27,68.42,79.5,66.19,86.64,72.76,81,92.04,,,,,,,,,,,,,,,,,,
,61,63,64,83,83,90,72,96,81,76,66,77,74,85,66,67,74,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rRMSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,Site,Climate,National,Yang5,Dirindex,Yang4,Nested,Dirint,Disc,Engerer2,Engerer3,Engerer4,Erbs,ED,OH,Louche,Boland,,,,,,,,,,,,,,,,,,
Alexandra Bay,6.5,5.78,7.52,10.91,10.96,12.1,7.12,13.02,8.71,7.05,7.5,10.06,6.6,11.78,7.23,7.18,9.18,,,,,,,,,,,,,,,,,,
Upington,5.03,5.74,7.12,10.26,10.28,11.29,7.84,10.19,8.1,8.31,5.85,10.09,7.4,10.81,7.76,8.64,8.99,,,,,,,,,,,,,,,,,,
De Aar,6.56,6.56,7.24,10.17,10.19,11.29,7.05,10.01,8.73,9.65,7.62,9.72,7.27,10.19,7.68,8.63,7.77,,,,,,,,,,,,,,,,,,
Bethlehem,10.38,10.87,10.08,12.86,12.88,13.45,12.21,14.42,11.19,10.65,11.18,11.25,12.61,12.8,10.33,10.26,11.72,,,,,,,,,,,,,,,,,,
Mahikeng,7.26,7.79,7.99,9.15,9.15,9.61,10.04,10.01,10.12,8.93,8.55,8.8,10.02,9.4,8.58,8.53,9.14,,,,,,,,,,,,,,,,,,
Irene,8.24,7.95,7.84,7.96,7.98,8.84,7.7,9.16,10.68,9.32,8.09,9.47,8.17,8.3,8.25,8.53,7.44,,,,,,,,,,,,,,,,,,
Pretoria,7.25,7.1,6.69,9.53,9.58,10.75,6.74,11.74,11.24,9.65,7.37,9.34,6.75,10.12,7.03,7.12,8.14,,,,,,,,,,,,,,,,,,
Thohoyandou,6.27,6.58,6.26,7.21,7.24,7.99,6.93,9.59,8.74,7.56,6.29,6.85,8.24,7.4,6.11,5.75,5.76,,,,,,,,,,,,,,,,,,
Nelspruit,8.75,9.03,9.26,8.15,8.14,8.22,10.52,8.95,11.25,10.36,8.14,7.53,11.81,8.05,9.58,8.98,9,,,,,,,,,,,,,,,,,,
Durban,8.14,8.05,8.47,9.28,9.3,10.01,10.08,11.5,10.07,10.95,9.13,8.08,12.22,8.86,8.8,8.18,8.3,,,,,,,,,,,,,,,,,,
Mthata,6.43,7.99,6.73,9.6,9.66,10.73,7.2,12.67,9.76,7.45,8.18,8.53,6.93,10.49,6.11,5.75,9.2,,,,,,,,,,,,,,,,,,
George,5.19,4.94,5.17,9.44,9.47,10.26,8.13,11.84,6.86,6.13,6.19,6.79,8.56,9.25,5.31,4.89,6.89,,,,,,,,,,,,,,,,,,
Stellenboch,4.69,5.82,6.14,9.42,9.47,10.62,6.65,12.01,7.66,6.49,5.7,8.63,5.83,10,6.03,5.95,7.7,,,,,,,,,,,,,,,,,,
Cape Point,7.74,7.4,7.56,8.91,8.92,9.76,7.63,8.72,8.1,9.73,7.38,8.57,7.14,9.34,7.84,8.73,9.92,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,7,7,9,10,10,8,11,9,9,8,9,9,10,8,8,9,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
